ID,Level 1 (TOP TERMS),Level 2 (BROADER TERM),SYNONYMS,DESCRIPTION,Sport England TT,SportSuite TT,EMD TT,SE BT,SS TT,EMD TT,SE Recognised TT?,SE Recognised BT?
4d7267d8-6df5-4d28-9de3-2c51c33f7608,Cardiovascular Classes,Vypa®,,,No,No,No,No,No,Level 2,No,No
a27fa5f2-1283-44dd-aed6-613476d3a0fa,Caving,,,Caving is the recreational pastime of exploring cave systems,Level 1,Level 1,No,,,,Yes,
ffcf465b-723f-4f97-933b-4cb35e3ff9ae,Cheerleading,,,"Competitive cheerleading involves squads of cheerleaders competing against each other by performing routines to music that include stunts, jumps and tumbles.",Level 1,Level 2,Level 2,,,,No,
d09970bc-e11c-40cc-a594-38e4ff32d611,Climbing,,,,Level 1,Level 1,No,,,,Yes,
b3d9964a-3a8f-4ac0-a96c-322eeb462ef6,Climbing,Abseiling,,Abseiling is a technique used in climbing to allow safe descent of steep terrain.,Level 1,Level 1,No,Level 1,Level 2,No,Yes,Yes
ef33414f-b228-4b65-b5e1-329c0215490d,Climbing,Bouldering,,,Level 1,Level 1,No,Level 2,No,No,Yes,Yes
e3f7b1de-71f1-4e2c-aa41-9ca109f563ca,Climbing,Lead Climbing,,,Level 1,Level 1,No,Level 2,No,No,Yes,No
ae0fdf39-41c2-492a-9a69-2853914d0413,Climbing,Rock Climbing,,Sport Rock Climbing involves climbing a rock using fixed protection that is already inplace as they ascend. ,Level 1,Level 1,No,Level 2,No,No,Yes,No
4acb955c-4084-4588-bbd1-64afe1cace6f,Climbing,Top Rope Climbing,,,Level 1,Level 1,No,Level 2,No,No,Yes,No
77e3f8fa-c8b3-4e4e-bf1a-ff4b914bb6ec,Cricket,,,"The aim of the batting team is to score as many 'runs' as possible - running between the wickets, exchanging ends with a second batsman (the non-striker), who has been waiting near the bowler's wicket.",Level 1,Level 1,No,,,,Yes,
958ebad8-c24b-4742-8c19-0a6fce9a8dc8,Cricket,Kwik Cricket,,"Kwik Cricket aims to provide children of all levels of ability and experience with an opportunity to regularly participate in a fun, introduction to cricket and to encourage fair play by all. The format is suitable for all ages but is mostly suitable for players under the age of 11.",Level 1,Level 1,No,No,Level 2,No,Yes,No
b8efe801-b826-4119-b8b2-40d6a4811474,Cricket,Long Form Cricket (E.G. 40-50 Overs),,,Level 1,Level 1,No,Level 2,No,No,Yes,No
efb69c57-7410-4987-9303-6161db093405,Cricket,Short Form Cricket (E.G. 20:20),,,Level 1,Level 1,No,Level 2,No,No,Yes,No
f4c54ee8-d572-4b09-a82b-0be2c1ff4745,Cricket,Table Cricket,,"Table Cricket is a game for everyone to play and enjoy – young or old, disabled and non-disabled – and is a great way to teach the basic rules of cricket, all on a table top.",Level 1,Level 1,No,No,Level 2,No,Yes,No
ebfabffe-1218-4c7f-a9d5-a6adf37dd503,Cricket,Cricket nets,,,Level 1,Level 1,No,Level 2,No,No,Yes,No
089fe8a7-7af3-4420-a361-88acb57fc95c,Cricket,Practice nets,,,Level 1,Level 1,No,Level 2,No,No,Yes,No
8cba755c-5b62-4e79-b9f2-4f0cb5248f74,Croquet,,,Croquet is an ideal way to spend a summer's afternoon.,Level 1,Level 1,No,,,,Yes,
853eab30-5812-44a8-8996-9e9e107bc4f9,Crossfit,,,"CrossFit is a strength and conditioning program consisting mainly of a mix of aerobic exercise, gymnastics (body weight exercises), and Olympic weight lifting.",Level 1,Level 1,No,,,,No,
e0fced38-3d72-48bb-b203-05e75d4df55e,Curling,,,Curling is a sport in which players slide stones across ice towards a circular target area.,Level 1,Level 1,No,,,,Yes,
59dac22d-b698-4a6a-80ef-41cd16b22716,Curling,Kurling,,"New Age Kurling is a form of the original curling game, but adapted so that it can be played indoors on any smooth, flat surface, such as a sports hall, rather than on ice.",Level 1,Level 1,No,No,Level 2,No,Yes,No
